"Data Source","World Development Indicators",

"Last Updated Date","2023-10-26",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022",
"Aruba","ABW","Fuel exports (% of merchandise exports)","TX.VAL.FUEL.ZS.UN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.00955674346080584","0.106446012341249","0.0107756603770306","0.0469829005505492","0.00338457142104372","0.24352175025681","0.197299260830369","0.104981848860667","0.115122321702268","0.0596714795288132","0.0108719232886248","0.0453619365164954","0.028564634582758","",
"Africa Eastern and Southern","AFE","Fuel exports (% of merchandise exports)","TX.VAL.FUEL.ZS.UN","","","","","","","","","","","","","","","13.4048012582445","","","","18.623365172021","21.9231309232911","23.781492729881","26.1179141802049","","","","","","","","","","","","","","","","5.56765894857206","","8.10841620583554","9.25855714577765","9.41700376941651","10.2586355059809","9.5544087833447","8.05887913918278","9.72718870364484","10.159963302837","27.0966189980744","8.7583153818518","27.363394978827","27.1210292713566","27.8365801438345","27.5535642620904","26.2895972321415","26.7434472683518","24.3812444904064","23.9879096498108","25.5630959505365","25.2091210066039","24.8605680759956","23.3247674726603","24.0142990384446","32.4371650497826",
"Afghanistan","AFG","Fuel exports (% of merchandise exports)","TX.VAL.FUEL.ZS.UN","","","","","","","","4.40957469624438","12.5789673516027","14.8661726967355","16.9461490985105","14.553298159669","13.7309154971656","11.6195424928802","13.9742449191501","20.29962345871","13.2242232130081","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.45045583056684","","5.23442813305688","10.2131805125","8.0512789669382","","","",
"Africa Western and Central","AFW","Fuel exports (% of merchandise exports)","TX.VAL.FUEL.ZS.UN","","","6.56472750496088","6.28769155367392","7.53534868913427","13.5147010915037","17.0331358379952","16.4838375528941","10.7774868933143","24.6295470718437","29.9539971168615","37.8829711052324","43.5068726494658","47.1485994532388","53.9945274134856","56.894619532201","62.9616669607904","56.3825670377179","55.5433854015071","57.9342524105379","","62.5208814911294","","64.9493505995907","","","","","","","","","","","","","60.7462395887592","60.3856555870376","60.577167386953","61.8610279019444","64.2825645326027","62.8924045808753","65.7572568417322","61.6800349603521","","","66.2847951150019","63.3881834361039","61.1658816132751","60.2885592712719","56.4574562141106","60.2922989185303","59.7640354829839","60.6217623246046","59.924179046535","54.5194555656339","54.6907320374927","60.3943837581881","64.1276052922476","61.8934655311081","65.4509726897304","","",
"Angola","AGO","Fuel exports (% of merchandise exports)","TX.VAL.FUEL.ZS.UN","","","3.04073581976792","","","","","","","7.17644765363341","13.3846841985665","19.9471377397395","26.8408664215116","31.3947274619275","51.6415136754715","","","","65.7394994788424","71.9070420055715","77.9692502787831","82.123986964698","","","","","","","","","93.4776803422701","94.8315360921689","","","","","","","","","","","","","","","","97.2265175257191","","97.9163484511435","97.9075489248038","98.1409863974632","98.3701689632146","98.2172596289667","97.7227216005661","94.0159079753161","92.7010547736293","94.6912550619684","95.6723202169276","95.2492483273439","93.0512900749378","94.1637464395459","94.9233435630702",
"Albania","ALB","Fuel exports (% of merchandise exports)","TX.VAL.FUEL.ZS.UN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.988651627069","1.7207253450672","1.16927644792172","2.15548929178211","1.85161317101105","1.44835925490073","2.00964296137502","1.02973846823218","2.62772601236456","8.62320052650774","13.6870930880734","7.45160846335455","21.7778133829324","11.5960780358903","17.9566359019427","21.1844242109543","26.5886649344812","30.9941380486986","1.56752332146237","8.80663865038583","11.1750623184928","0.824033210157602","1.66266621721824","0.602741338715028","0.905736426979895","0.0239145120005926","0.408202316704775",
"Andorra","AND","Fuel exports (% of merchandise exports)","TX.VAL.FUEL.ZS.UN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.169823572259061","0.00801851368415153","0.0061291176337256","0.01444721655249","0.0978477340993332","0.133470719864966","0.201277203740919","0.00340850271314777","0.00718421522431373","0.0020915587513253","0.00139066416530204","0.000877373640358075","0.0164949512104574","0.00639829246971588","0.0674187377593231","0.00171578894223204","0.00296782977763237","0.0954824010290095","0.126266414497508","0.113812116132643","0.0444906582187301","0.0106675178543429","0.00858196988222723","0.0136381879282452","0.0906269065381471","0.0290968240410038","0.0330618847275828","0.00558704942970673",
"Arab World","ARB","Fuel exports (% of merchandise exports)","TX.VAL.FUEL.ZS.UN","","","","","","","","","","","","","","","","","","","88.5085360910063","86.3342823538775","","","","","","","","","","","","51.2091429177487","53.8977237327715","52.4004700120572","","","","","","82.9637654924361","84.7661784457732","84.4706370351967","71.1731585006202","67.3781484370273","71.6622649606191","71.9829481681375","75.8966764858011","76.3031032280954","75.7234321877832","65.6520007355962","69.715687934463","70.9039610957859","66.6908023575314","71.1760925616491","68.533094978437","60.6724166193049","58.8060803422424","58.5979516202564","70.0081355318802","73.4716914043168","65.5243844323963","67.976324949555","",
"United Arab Emirates","ARE","Fuel exports (% of merchandise exports)","TX.VAL.FUEL.ZS.UN","","","","","","","","","","","","","","","","","","","94.9120964679524","92.0270022947173","","","","21.3097629464883","","","","","","","","7.29751110467935","10.3042686746707","9.11330268720246","","","","","","91.2876718951178","93.843835816671","91.783197076844","55.7261089954946","48.2728267331956","54.0586347867889","57.7303108639363","62.2532759092846","63.7197610075105","62.304908634584","43.5246022231876","49.9895856498744","53.5351069475687","47.2314196497577","55.8450474819963","50.7904126785472","37.6515533891839","31.5589751074458","35.9974179478646","68.5381737167988","77.8387271988389","71.434331985329","70.3219846270872","50.8068579471406",
"Argentina","ARG","Fuel exports (% of merchandise exports)","TX.VAL.FUEL.ZS.UN","","","1.08084667297785","0.822615007036755","0.432268863276612","0.615568720804148","0.878622056994743","0.52525865800809","0.905895163072807","0.358795437503231","0.429985457822026","0.488016438760078","0.322420189254759","0.17139838237626","0.314088278435944","0.494938171881615","0.503027415396397","0.492338388911638","0.807152517079348","0.621535840198475","3.46428693193844","6.78099847731652","7.18794119964191","4.26583230217549","4.09102167401642","7.30702352807232","2.24126011836166","1.34305051014403","","","","","8.83930605509692","9.41596460129187","10.4211813944822","10.33985004541","12.9690098612611","11.6985744022358","8.61176447846474","12.1168238278399","17.6241830605225","17.0272143366815","17.0062379055992","17.0830633855413","16.0002898523067","16.3961455637403","15.2633165831813","10.9263085486107","9.37098213409865","10.1652445466661","7.90317746658418","5.97246544174461","6.22846935291873","4.68210789818476","4.67799000825185","2.5385946406222","2.4962680453126","2.78500093366595","4.11937445415808","3.59778796735553","2.67898842404181","2.64279316542856","6.17703046770052",
